0	99	1	0	0
1	99	1	0	0
2	99	1	0	0
3	99	1	0	0
4	98	2	0	0
5	94	6	0	0
6	94	6	0	0
7	94	6	0	0
8	93	7	0	0
9	92	8	0	0
10	92	8	0	0
11	90	10	0	0
12	90	10	0	0
13	90	10	0	0
14	87	12	0	1
15	85	14	0	1
16	85	13	0	2
17	85	12	0	3
18	85	11	0	4
19	85	10	0	5
20	85	9	0	6
21	85	9	0	6
22	85	8	0	7
23	84	7	0	9
24	84	7	0	9
25	84	7	0	9
26	84	6	0	10
27	81	7	0	12
28	79	8	0	13
29	79	8	0	13
30	79	7	0	14
31	79	7	0	14
32	79	6	0	15
33	79	6	0	15
34	79	6	0	15
35	79	6	0	15
36	79	6	0	15
37	79	6	0	15
38	79	4	0	17
39	79	4	0	17
40	79	4	0	17
41	79	4	0	17
42	79	4	0	17
43	79	4	0	17
44	79	4	0	17
45	76	7	0	17
46	76	7	0	17
47	76	6	0	18
48	75	7	0	18
49	70	11	0	19
50	69	12	0	19
51	68	13	0	19
52	65	16	0	19
53	64	14	0	22
54	63	15	0	22
55	63	15	0	22
56	63	14	0	23
57	63	14	0	23
58	61	14	0	25
59	61	14	0	25
60	61	14	0	25
61	61	12	0	27
62	61	11	0	28
63	61	11	0	28
64	60	12	0	28
65	51	21	0	28
66	46	23	0	31
67	45	24	0	31
68	44	25	0	31
69	44	25	0	31
70	44	24	0	32
71	43	25	0	32
72	42	24	0	34
73	42	23	0	35
74	41	23	0	36
75	40	23	0	37
76	40	22	0	38
77	40	21	0	39
78	40	18	0	42
79	40	16	0	44
80	40	16	0	44
81	40	16	0	44
82	40	15	0	45
83	40	13	0	47
84	40	11	0	49
85	40	10	0	50
86	40	9	0	51
87	40	8	0	52
88	40	8	0	52
89	39	9	0	52
90	39	8	0	53
91	39	8	0	53
92	39	8	0	53
93	39	7	0	54
94	39	7	0	54
95	39	7	0	54
96	39	7	0	54
97	39	7	0	54
98	39	6	0	55
99	39	6	0	55
